,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
331,14%,"Catalunya, Catalonia, Spain",750 ml,Red, Spain,5/1/2018,"A transparent red color and aromas of cherry and plum set up a wiry, clipped palate with juicy acidity. Spunky plum flavors turn more roasted on a finish with barbecued notes.",,Vintners Alliance,Ramon Roqueta 2016 Garnacha (Catalunya),$12, Catalonia,86,Catalunya,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Ramon Roqueta
332,13%,"Catalunya, Catalonia, Spain",750 ml,Red, Spain,5/1/2018,"Grapy wild-berry aromas show notes of raisin and wet clay. This feels full and blocky due to low acidity. A mix of candied plum, berry and green herb flavors are short on the finish.",Old Vines,"Winesellers, Ltd",Ressò 2016 Old Vines Garnacha (Catalunya),$8, Catalonia,85,Catalunya,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Ressò
333,14%,"Bajo Aragon, Northern Spain, Spain",750 ml,Red, Spain,5/1/2018,"Candied aromas of berry fruits and raisin are not fresh or focused. This wine has a stewy feel along with gummy flavors of blackened berry fruits. Touches of clove, licorice and mint register on the finish.",Esenzia Old Vine,Rodinia LLC,Bodegas Tempore 2016 Esenzia Old Vine Garnacha (Bajo Aragon),$10, Northern Spain,83,Bajo Aragon,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Bodegas Tempore
334,14.4%,"Paicines, Central Coast, California, US",750 ml,Red, US,4/1/2018,"This higher-end, elegantly packaged bottling delivers depth, starting with a well-woven, unique nose of baked strawberry, cinnamon, juniper, peppercorns and tobacco. Those elements converge on the palate alongside sandalwood, Montmorency cherry and vanilla, bolstered by a soft but steady acidity.",Family Reserve,,Donati Family Vineyard 2014 Family Reserve Grenache (Paicines),$45, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paicines,Not rated yet [Add Your Review],Grenache,2014,Donati Family Vineyard
335,15.5%,"Yakima Valley, Columbia Valley, Washington, US",750 ml,Red, US,4/1/2018,"Light in color, this wine offers beguiling aromas with notes of fire pit, flower, stem, potpourri, black raspberry and smoked meat. Ethereally light and enchanting, it's texturally rich and flavorful, with a warm finish—a delicious example of this site and variety.",Claire Boushey Vineyard,,Two Vintners 2015 Claire Boushey Vineyard Grenache (Yakima Valley),$40, Washington,93, Columbia Valley,Sean P. Sullivan,@wawinereport,Yakima Valley,Not rated yet [Add Your Review],Grenache,2015,Two Vintners
336,13.69%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,4/1/2018,"Drake Whitcraft is becoming a master at weaving a wide array of sensory experiences into very light wines. This starts with candied pomegranate, fennel bulb and cracked white pepper on the nose, then hits the palate with bright snappy red fruits, heavy peppery spice and a penetratingly bright acid profile. It goes down easy, but with complexity.",Stolpman Vineyard,,Whitcraft 2016 Stolpman Vineyard Grenache (Ballard Canyon),$45, California,93, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2016,Whitcraft
337,15.2%,"California, California Other, California, US",750 ml,Red, US,4/1/2018,"There's strong oak, vanilla and spice cake on the nose of this rich bottling from Paso Robles vineyards as well as sugar plums and wet soil aromas. There's an earthy minerality of turned loam to the palate, with hints of forest moss, pine oil and cracked pepper.",,,Nelle 2015 Grenache (California),$38, California,92, California Other,Matt Kettmann,@mattkettmann,California,Not rated yet [Add Your Review],Grenache,2015,Nelle
338,14.9%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,4/1/2018,"This Grenache is a little older than the typical release, and that gives it some extra depth. Aromas of cranberry sauce, baking spice, rose petals, hibiscus and carnations are nose-tickling. The palate is loaded with spice cake, gingerbread and rounded, slightly sour red-cherry flavors, altogether soft and pleasing.",,,Curran 2012 Grenache (Santa Barbara County),$30, California,92, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Grenache,2012,Curran
339,14.5%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,4/1/2018,"Clean aromas of cinnamon, dried rose petals and tight raspberry fruit make for a very pretty nose on this lighter delicate style of Grenache. The palate is quite fresh, with cherry, cranberry, orange rind, dried ginger, cracker pepper and sumac flavorings combining for a very refreshing, elegant bottling.",Kimsey Vineyard,,Crawford Family 2015 Kimsey Vineyard Grenache (Ballard Canyon),$36, California,92, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2015,Crawford Family
340,12.5%,"Swartland, South Africa",750 ml,Red, South Africa,4/1/2018,"There's a pleasant earthy, spicy character right off the bat on the nose of this wine, opening with pronounced scents of Dr. Pepper, cherry cola, red plum, chicory root and church incense. The medium-weight palate offers structured tannins that lend surprising grip, yet bright acidity keeps the mouthfeel lifted. The stalky, tight red-berry flavors on the palate return to spicy abundance on the medium-length finish. Drink 2020–2025.",Raaigras,"Broadbent Selections, Inc",A.A. Badenhorst Family Wines 2015 Raaigras Grenache (Swartland),$53,Swartland,91,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Grenache,2015,A.A. Badenhorst Family Wines
341,13.5%,"Swartland, South Africa",750 ml,Red, South Africa,4/1/2018,"Enticing, fruity aromas of red cherry and brambly berry set the stage for layers of cola, baking spice and cocoa. The medium-weight palate offers a texture like crushed satin, smooth yet defined, with ample acidity to keep the structure and ripe-fruit flavors from feeling overly dense. The spice returns on the finish and continues alongside a hint of peppery warmth. Drink now–2023.",David,Pascal/Schildt Selections,David & Nadia 2015 David Grenache (Swartland),$45,Swartland,91,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Grenache,2015,David & Nadia
342,15.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2018,"Red and purple flowers meet with crushed slate, turned soil and plump cherry fruits on the nose of this bottling. It's a solid, down-the-middle expression of the grape, with red and black plums, clove and tarragon lifts to the palate.",,,Villa Creek 2015 Garnacha (Paso Robles),$60, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],"Garnacha, Grenache",2015,Villa Creek
343,13.5%,"Monterey, Central Coast, California, US",750 ml,Red, US,4/1/2018,"Rounded and ripe aromas of baked strawberry, red plum, dried rose petal and anise show on the nose of this bottling by theater tech-turned-winemaker Sabrine Rodems. The complex texture is still a bit stiff and sticky on the palate, and the flavors are strong and straightforward, with cranberry and sandalwood. It's clean and refreshing overall, but it could use more time.",Alta Loma Vineyard,,Wrath 2015 Alta Loma Vineyard Grenache (Monterey),$39, California,91, Central Coast,Matt Kettmann,@mattkettmann,Monterey,Not rated yet [Add Your Review],Grenache,2015,Wrath
344,15.1%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,4/1/2018,"There's strong woody spice on the nose of this appellation blend with sandalwood and lacquer aromas meeting with stewed plums, mulberries and candied flowers. Those same fruit flavors show on the sip, alongside a pine-needle lift. It is a quite rich expression.",,,Kaena 2015 Grenache (Santa Ynez Valley),$35, California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2015,Kaena
345,14%,"Swartland, South Africa",750 ml,Red, South Africa,4/1/2018,"A lovely note of mint chocolate rides atop the core of ripe wild berries and cherry in the nose and mouth of this attractive wine. It boasts a medium body and satiny texture, with ample structure and acidity for overall balance. The fruit-forward palate is accented by herbal, earthy hints, finishing with a flourish of baking spice. Drink now–2023.",,"Broadbent Selections, Inc",Momento 2015 Grenache (Swartland),$40,Swartland,91,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Grenache,2015,Momento
346,14.1%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2018,"An extremely pale, orange-tinged color belies an aromatically expressive wine, with appealing notes of white pepper, wild raspberry and herb. The palate is sumptuous yet light in feel, with achingly pure fruit flavors. This wine is all about elegance—perhaps too much for some tastes. But for those seeking the variety's delicate side, look no further. Drink now.",,,Descendant 2013 Grenache (Columbia Valley (WA)),$30, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Grenache,2013,Descendant
347,14%,"Swartland, South Africa",750 ml,Red, South Africa,4/1/2018,"This is a dense, dark and well-concentrated wine, with abundant notes of blackberry, boysenberry and cherry on the nose and mouth. Hints of pepper, licorice and char add depth and interest, featuring most prominently on the finish alongside a hint of fudgy brownie. The mouthfeel is bold, gripping and firmly textured. Drink now–2021.",,Indigo Wine Group,Leeuwenkuil 2015 Grenache (Swartland),$20,Swartland,90,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Grenache,2015,Leeuwenkuil
348,14%,"Monterey County, Central Coast, California, US",750 ml,Red, US,4/1/2018,"This blend of three vineyards, including one in Santa Barbara County, offers intriguing sweet-and-sour aromas of dried sage, bay leaf, forest floor and olive tapenade. Dried berry fruit shows on the sip alongside chaparral, and it tastes much older than its young age.",,,Bonny Doon 2016 Grenache (Monterey County),$32, California,88, Central Coast,Matt Kettmann,@mattkettmann,Monterey County,Not rated yet [Add Your Review],Grenache,2016,Bonny Doon
349,13%,"Maremma Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2018,"Made entirely with Alicante, this presents aromas suggesting red-skinned berry, white pepper and leather. The easygoing palate offers cranberry, clove and exotic spice alongside smooth tannins. Enjoy soon.",,Vintus LLC,Poggio al Tufo 2015  Maremma Toscana,$24, Tuscany,88,Maremma Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Alicante, Grenache",2015,Poggio al Tufo
350,14.1%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2018,"Light in color, this offers faint aromas that give up almost nothing on first pour, except notes of spice. Still young, the palate is more revealing, showing elegant flavors of raspberry and plum. If the aromas open up it could move up a notch.",The Gold Drop Collection,,Upsidedown 2016 The Gold Drop Collection Grenache (Columbia Valley (WA)),$40, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Grenache,2016,Upsidedown
351,14.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,4/1/2018,"Berry and tomato aromas are basic. Typical of Garnacha, this is grabby and chewy on the palate. Flavors of grape skins, black plum and herbal berry fruits are peppery and show a hint of oak-based clove on the finish.",,Grapes of Spain,Acentor 2016 Garnacha (Calatayud),$15, Northern Spain,87,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Acentor
352,14%,"Montsant, Catalonia, Spain",750 ml,Red, Spain,4/1/2018,"Berry and spice aromas that suggest clove open this medium-bodied Garnacha. Spiced berry flavors hint at cinnamon, while chocolate notes are welcome on a plump finish.",Perlat,Monsieur Touton Selection Ltd,Cellers Unió 2015 Perlat Garnacha (Montsant),$14, Catalonia,87,Montsant,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2015,Cellers Unió
353,14.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,4/1/2018,"Furry plum and berry aromas are good but fragmented. Racy acidity creates tension and some rawness on the palate, while this wine tastes of tart black plum and black currant. Latent acidity on the finish results in strained freshness.",,Classical Wines,Xiloca 2016 Garnacha (Calatayud),$10, Northern Spain,86,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Xiloca
354,13.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,4/1/2018,"Foxy berry aromas are fruity and jumpy. This wine is grapy on the palate, and more flat than lively. Jammy black-fruit flavors are herbal, while mint and peppery notes drive the finish.",,Axial Vinos USA,Cruz de Piedra 2016 Garnacha (Calatayud),$10, Northern Spain,85,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Cruz de Piedra
355,14.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,4/1/2018,"Raisiny, saucy aromas are slightly volatile. A wide, saturated palate comes up short on focus and acidity, while a mix of raisin and green-herb flavors lands on a heavy finish.",Viñas Viejas,Kysela Père et Fils,Albada 2014 Viñas Viejas Garnacha (Calatayud),$14, Northern Spain,84,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2014,Albada
356,14.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,4/1/2018,"Pushy oak and heavy clove aromas seem excessive for this level of Garnacha. A rough, grating palate leads to oak-heavy flavors of clove and blackberry, while a persistent flavor of oak-driven clove controls the finish.",Selección Especial,Axial Vinos USA,Marqués de Montañana 2016 Selección Especial Garnacha (Calatayud),$12, Northern Spain,84,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Marqués de Montañana
357,14.5%,"Gigondas, Rhône Valley, France",750 ml,Red, France,3/1/2018,"The Hominis Fides represents some of the estate's oldest Grenache vines, with an average age of 90 years. Irresistibly ripe, rich and mouthfilling, this is a powerhouse of black-plum and cherry flavors refined by layers of pencil shavings, cedar and spice. It's bold and lavishly textured yet has freshness and a fine, filigreed tannin structure. Drink now through 2030.",Hominis Fides,Craft + Estate–The Winebow Group,Château de Saint-Cosme 2014 Hominis Fides  (Gigondas),$109, Rhône Valley,94,Gigondas,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2014,Château de Saint-Cosme
358,15.4%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,3/1/2018,"After skipping a vintage, the producer offers this impressively powerful expression of the variety from a great site. Compressed plum and strawberry compote flavors are rich and rounded, nuanced in juicy acidity. A lasting bite of oak and tannin permeate on the long finish, accented in white pepper.",Rossi Ranch,,Carlisle 2015 Rossi Ranch Grenache (Sonoma Valley),$38, California,93, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Grenache,2015,Carlisle
359,13.5%,"Châteauneuf-du-Pape, Rhône Valley, France",750 ml,Red, France,3/1/2018,"Savory tones of tobacco leaf, dried lavender and thyme lend a dark, sultry appeal to rich blackberry and plum here. This wine is fleshy on the palate yet firmly balanced with fine, taut tannins and a lingering, brambly finish. Graceful and nuanced, it should drink at prime through 2030.",,Hand Picked Selections,Laurence Féraud 2014 Red (Châteauneuf-du-Pape),$62, Rhône Valley,93,Châteauneuf-du-Pape,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],"Grenache Blend, Grenache",2014,Laurence Féraud
360,14.4%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,3/1/2018,"This complex vineyard-designate is spicy and earthy in equal measure, the burst of white pepper most memorable. Dried plum, rhubarb and strawberry compote add to the story, with a fresh core of acidity piercing through the strong tannin.",Wine Creek Ranch,,Quivira 2015 Wine Creek Ranch Grenache (Dry Creek Valley),$34, California,93, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Grenache,2015,Quivira
361,15.3%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,3/1/2018,"Dense blackberries, vanilla, star anise and ripe elderberries show on the nose of this clonal selection by Grenache guru Mikael Sigouin. Thick black plum and black-currant-sauce flavors combine with soy and violet on the palate, where a bright acidity penetrates deep into the finish.",Clone 362 Tierra Alta Vineyard,,Kaena 2014 Clone 362 Tierra Alta Vineyard Grenache (Ballard Canyon),$40, California,93, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2014,Kaena
362,14.5%,"Sonoma Coast, Sonoma, California, US",750 ml,Red, US,3/1/2018,"This affordable red is high-toned in strawberry and a juicy earthiness, its use of oak and moderate power well-integrated. Smooth and velvety on the palate, it finishes in a bright tease of red licorice.",,,Thirty-Seven Wines 2014 Grenache (Sonoma Coast),$26, California,92, Sonoma,Virginie Boone,@vboone,Sonoma Coast,Not rated yet [Add Your Review],Grenache,2014,Thirty-Seven Wines
363,14.1%,"Sonoma, Sonoma, California, US",750 ml,Red, US,3/1/2018,"Quietly floral, this wine has small percentages of Syrah and Alicante Bouschet. Red licorice and a thread of white pepper play along a thick big-boned entry that softens into a silky wonder as it develops. It highlights the savory aspects of this beloved Rhône variety.",,,Benovia 2014 Grenache (Sonoma),$40, California,92, Sonoma,Virginie Boone,@vboone,Sonoma,Not rated yet [Add Your Review],Grenache,2014,Benovia
364,13.2%,"Santa Barbara County, Central Coast, California, US",750 ml,Rose, US,3/1/2018,"Pale pink in color, this is a pitch-perfect rosé, with aromas of watermelon, pink grapefruit, rose petal and lemon rind. There is great zip to the palate and a chalky texture, carrying fresh but tight red-fruit flavors. It will please New World and Old World fans alike.",Rosé of,,Topa Mountain Winery 2016 Rosé of Grenache (Santa Barbara County),$28, California,92, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Grenache,2016,Topa Mountain Winery
365,14.2%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"This medium-bodied wine has an appetizing lip-smacking texture and a rather taut balance that could take on a wide variety of food pairings. It's all fresh berry and cherry flavors, snappy acidity and firm tannins.",Estate Grown,,Naggiar 2015 Estate Grown Grenache (Sierra Foothills),$25, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Grenache,2015,Naggiar
366,14.5%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"This is an extremely smooth, mellow, complex and interesting wine. From the first whiff of cedar and cinnamon in the aroma, to intricate flavors of raspberry, black tea and clove, it brings a lot of nuances to the palate and wraps them in a soft blanket of mild acidity and light tannins.",Naked Vine Vineyard,,Miller Wine Works 2014 Naked Vine Vineyard Grenache (El Dorado),$32, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],Grenache,2014,Miller Wine Works
367,14.3%,"High Valley, Lake County, California, US",750 ml,Red, US,3/1/2018,"This full-bodied wine has a big structure, strong oak, spice and red fruit flavors all wrapped in fine-grained tannins. The color is relatively light, but the aromas are full of toasted oak and nutmeg while the flavors have vivid cranberry and cherry. The wine should mellow with age, and will be best after 2020.",,,Brassfield 2015 Grenache (High Valley),$40, California,91, Lake County,Jim Gordon,@gordone_cellars,High Valley,Not rated yet [Add Your Review],Grenache,2015,Brassfield
368,14.2%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"Healthy doses of black pepper and smoked meat in both the aromas and the flavors give this wine a pretty forceful personality, and it has good fruit to back them up. It smells like cracked pepper and cedar, tastes spicy, meaty, quite firm in texture and brings out raspberry and red cherry on the finish.",Estate,,Cedarville 2014 Estate Grenache (El Dorado),$25, California,91, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],Grenache,2014,Cedarville
369,14.7%,"Shenandoah Valley (CA), Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"This soft-textured, mouth-filling wine has woodsy, fallen leaf aromas, gentle flavors that combine savory and fruity accents and mild acidity and tannins. It's medium to full-bodied and soothing to sip.",Estate Bottled,,Iron Hub 2014 Estate Bottled Grenache (Shenandoah Valley (CA)),$25, California,90, Sierra Foothills,Jim Gordon,@gordone_cellars,Shenandoah Valley (CA),Not rated yet [Add Your Review],Grenache,2014,Iron Hub
370,14.5%,"Shenandoah Valley (CA), Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"Gripping in texture and nicely saturated with ripe plum and smoked meat flavors, this is a compelling, interesting and complex wine. It shows light oaky, toasted accents on top of vivid red cherry and black-cherry flavors, while firm tannins and good acidity keep it appetizing.",,,Bella Grace 2014 Grenache Noir (Shenandoah Valley (CA)),$34, California,90, Sierra Foothills,Jim Gordon,@gordone_cellars,Shenandoah Valley (CA),Not rated yet [Add Your Review],"Grenache Noir, Grenache",2014,Bella Grace
371,14%,"Stellenbosch, South Africa",750 ml,Red, South Africa,3/1/2018,"This opens with a gorgeous, highly aromatic nose reminiscent of purple flower fields partnered with ripe raspberry, blueberry and blackberry. The fruit-forward palate offers more berry goodness, with a velvety tannic structure and enough acidity to enliven the finish. Drink now–2019.",,Invoer,The Foundry 2015 Grenache Noir (Stellenbosch),$28,Stellenbosch,90,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],"Grenache Noir, Grenache",2015,The Foundry
372,14.8%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,3/1/2018,"A rare 100% varietal offering, this works well to showcase dusty, pronounced tannin around a richness of baked cherry and strawberry seasoned in white pepper and orange. Tart acidity works alongside floral aromatics of cherry blossom and violet.",Hoskins Ranch,,Meeker 2014 Hoskins Ranch Grenache (Dry Creek Valley),$38, California,90, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Grenache,2014,Meeker
373,14.5%,"Gigondas, Rhône Valley, France",750 ml,Red, France,3/1/2018,"Fleshy and full on the palate, this plump red wine offers heaps of juicy, easy black-cherry and berry flavors peppered with spice and mocha. It's a rich, mouthfilling sip but tightens up firmly, with a bold, tannic finish.",,Hand Picked Selections,Laurence Féraud 2013  Gigondas,$35, Rhône Valley,90,Gigondas,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],"Grenache Blend, Grenache",2013,Laurence Féraud
374,14.4%,"El Dorado, Sierra Foothills, California, US",750 ml,Red, US,3/1/2018,"Bright, fresh, fruity aromas and flavors are supported by a good firm texture in this very clean, tangy wine. It has a bracing mouthfeel, plenty of red cherry and raspberry flavors and light to medium body.",,,Lois Rae 2015 Grenache (El Dorado),$35, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,El Dorado,Not rated yet [Add Your Review],Grenache,2015,Lois Rae
375,13.1%,"Sierra Pelona Valley, South Coast, California, US",750 ml,Red, US,3/1/2018,"This is the strongest showing yet from this region northeast of Los Angeles, with aromas of berry, hickory smoke, slate and rust on the nose. There is a rustic quality to the sip, with fennel seed-laced salami and macerated plum flavors.",,,Reyes 2015 Grenache (Sierra Pelona Valley),$35, California,89, South Coast,Matt Kettmann,@mattkettmann,Sierra Pelona Valley,Not rated yet [Add Your Review],Grenache,2015,Reyes
376,14.5%,"Costières de Nîmes, Rhône Valley, France",750 ml,Red, France,3/1/2018,"Streaks of tobacco, resin and earth offset bright, fresh blackberry and plum in this rich, boldly concentrated wine. Voluminous and a touch warming on the palate, it's framed by sunny acidity and fine-grained but grippy tannins.",Castel Nou,Robert Kacher Selections,Château d'Or et de Gueules 2015 Castel Nou Red (Costières de Nîmes),$30, Rhône Valley,88,Costières de Nîmes,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],"Grenache Blend, Grenache",2015,Château d'Or et de Gueules
377,14.2%,"Sta. Rita Hills, Central Coast, California, US",750 ml,Red, US,3/1/2018,"From the producer's estate vineyard, the fruit certified biodynamic and organic, this is a rustic, daring wine, ethereal on the one hand in body and spirit, while biting in tannin. Ash and earthy strawberry provide the core of flavor.",Delta,,Ampelos 2014 Delta Grenache (Sta. Rita Hills),$37, California,88, Central Coast,Virginie Boone,@vboone,Sta. Rita Hills,Not rated yet [Add Your Review],Grenache,2014,Ampelos
378,14%,"Piekenierskloof, South Africa",750 ml,Red, South Africa,3/1/2018,"There's a gamy, earthy thread to this wine, along with notes of tobacco and crushed violets that weave throughout the boysenberry fruit. The palate doles out more black berry flavor, while fine tannins and ample acidity frame the finish. Enjoy through 2018.",,Baobab Wines Inc,Piekenierskloof 2015 Grenache (Piekenierskloof),$24,Piekenierskloof,88,,Lauren Buzzeo,@laurbuzz,,Not rated yet [Add Your Review],Grenache,2015,Piekenierskloof
379,14.4%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,3/1/2018,"Smooth and tannic, this wine from Grenache specialist speaks loudly to a core of dried cherry, almost liqueur-like in its richness and density, given savory companionship by thickets of leather.",Mounts Family Vineyards,,C R Graybehl 2015 Mounts Family Vineyards Grenache (Dry Creek Valley),$34, California,88, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Grenache,2015,C R Graybehl
380,13.5%,"Costières de Nîmes, Rhône Valley, France",750 ml,Red, France,3/1/2018,"Bright red-cherry and strawberry notes are offset by tones of dried herbs and underbrush. This wine is rounded and full on the palate but delicate in concentration. It finishes with drying, slightly tacky tannins.",1753,"Dreyfus, Ashby & Co",Château de Campuget 2015 1753 Grenache (Costières de Nîmes),$19, Rhône Valley,87,Costières de Nîmes,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2015,Château de Campuget
381,14.6%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,3/1/2018,Generous oak and tannin dominate around a sizable ripeness of cherry and vanilla in this youthful wine. Tart acidity accents the baked character of the fruit.,Mathis Vineyard,,C R Graybehl 2015 Mathis Vineyard Grenache (Sonoma Valley),$34, California,86, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Grenache,2015,C R Graybehl
382,15.2%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,2/1/2018,"Bountiful boysenberry fruit shows alongside a muddy, loamy clay minerality on the nose of bottling, which is lifted further by crushed lavender aromas. The palate's rounded berry fruit is complemented by cherry wood smoke, grippy tannins and strong acidity. The slate and clay character provides a compelling backbone.",Ali'i,,Kaena 2015 Ali'i Grenache (Santa Ynez Valley),$50, California,94, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2015,Kaena
383,14.2%,"Carmel Valley, Central Coast, California, US",750 ml,Red, US,2/1/2018,"Brawny aromas of wild boysenberries, bay leaf, black cardamom, wet soil and black tobacco recall a tumble through the rugged chaparral on the nose of this bottling. The palate's black fruit and violet flavors mingle with lavender, chai spice, clove, black pepper and more tobacco, framed by firm tannins. This represents a tremendously complete sensory experience.",CM Ranch,,Chesebro 2013 CM Ranch Grenache (Carmel Valley),$35, California,94, Central Coast,Matt Kettmann,@mattkettmann,Carmel Valley,Not rated yet [Add Your Review],Grenache,2013,Chesebro
384,14.2%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,2/1/2018,"The nose on this countywide blend is extremely elegant and lovely, with light rose petals, pressed black plums and crushed violets. There's a tremendously grippy texture to the sip, providing a pure tension that delivers flavors of purple fruit and rosewater. It's a testament to the versatility of the variety.",,,Jaffurs 2015 Grenache (Santa Barbara County),$34, California,94, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Grenache,2015,Jaffurs
385,15.3%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,2/1/2018,"Mikael Sigouin extracts the rich side of Grenache in most of his bottlings, and this is an excellent example. Deep and stunning aromas of lilac, cola, red cherries, strawberry-balsamic glaze, black cardamom and sharp sandalwood lead into a palate that's lavish with chai spice, dried ginger and cherry-cordial flavors. Tannins pile up toward the finish and the acidity sings through it all.",Larner Vineyard,,Kaena 2015 Larner Vineyard Grenache (Ballard Canyon),$52, California,94, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2015,Kaena
386,14.5%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,2/1/2018,"Light in color, this wine's beautiful nose shows freshly pressed raspberry, dewy tarragon, fennel and lavender aromas—a showcase of aromatic elegance. Immensely fresh and inviting flavors pop on the palate, from tart strawberry and green fennel to rose petals and rosewater, all framed by a long-simmering acidity. It would work well with either white fish or roasted pork.",Thompson,,Casa Dumetz 2015 Thompson Grenache (Santa Barbara County),$45, California,93, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Grenache,2015,Casa Dumetz
